team,season,rank_on_team,player_name,position,spine_metric,depth_pos,depth_rank,depth_surplus,usage_index_score,usage_role,stress_score,redzone_score,share_score,depth_score,return_score,spine_opps,team_spine_opps,share_overall,share_calm,share_stress,confidence_delta,opp_i20,team_opp_i20,yards_per_touch,scrimmage_yards
CLE,2026,3,D.Watson,QB,rush_attempts_qb,QB,1,0,45.1,PRIMARY -- TRUSTED UNDER PRESSURE,64.2,22.3,51.3,50.0,17.3,7,39,0.1795,0.125,0.2667,0.1417,2,10,4.62,60
CLE,2026,4,K.Concepcion,WR,targets,WR,2,0,42.5,ROTATIONAL CONTRIBUTOR,48.7,22.3,60.4,50.0,24.6,11,52,0.2115,0.2162,0.2,-0.0162,2,10,5.71,80
CLE,2026,5,H.Fannin,TE,targets,TE,1,0,41.8,PRIMARY -- TRUSTED UNDER PRESSURE,63.2,0.0,49.5,50.0,36.6,9,52,0.1731,0.1351,0.2667,0.1315,,,10.71,75
CLE,2026,6,R.Sanders,RB,rush_attempts,RB,2,0,34.8,INSUFFICIENT SAMPLE,66.7,0.0,22.0,50.0,14.1,3,39,0.0769,0.0,0.2,0.2,,,5.29,37
CLE,2026,7,B.Whiteheart,TE,targets,TE,2,0,33.7,INSUFFICIENT SAMPLE,50.5,11.2,16.5,50.0,39.6,3,52,0.0577,0.0541,0.0667,0.0126,1,10,15.5,31
CLE,2026,8,J.Jeudy,WR,targets,WR,3,0,33.0,ROTATIONAL CONTRIBUTOR,50.0,0.0,27.5,50.0,37.4,5,52,0.0962,0.1351,0.0,-0.1351,,,13.0,26
CLE,2026,9,I.Bond,WR,targets,WR,4,0,27.6,INSUFFICIENT SAMPLE,50.0,0.0,9.5,50.0,22.9,1,30,0.0333,0.0526,0.0,-0.0526,,,10.0,10
CLE,2026,10,J.McLaughlin,RB,rush_attempts,RB,3,0,26.0,INSUFFICIENT SAMPLE,50.0,0.0,14.3,50.0,1.3,1,20,0.05,0.0909,0.0,-0.0909,,,3.0,3
DAL,2026,1,J.Williams,RB,rush_attempts,RB,1,0,64.8,VOLUME ONLY -- BENCHED WHEN IT TIGHTENS,39.0,100.0,100.0,50.0,29.5,24,34,0.7059,0.7368,0.6667,-0.0702,9,19,3.81,122
DAL,2026,2,C.Lamb,WR,targets,WR,1,0,62.0,ROTATIONAL CONTRIBUTOR,55.5,46.2,79.6,50.0,91.8,17,61,0.2787,0.2632,0.3043,0.0412,3,19,14.07,197
DAL,2026,3,G.Pickens,WR,targets,WR,2,0,48.9,PRIMARY -- TRUSTED UNDER PRESSURE,66.2,14.0,65.6,50.0,35.0,14,61,0.2295,0.1842,0.3043,0.1201,1,19,7.56,68
DAL,2026,4,J.Ferguson,TE,targets,TE,1,0,45.7,"CLOSER -- SMALL ROLE, BIG MOMENTS",62.1,40.5,28.1,50.0,33.8,6,61,0.0984,0.0526,0.1739,0.1213,3,19,8.17,49
DAL,2026,5,R.Flournoy,WR,targets,WR,3,0,32.7,ROTATIONAL CONTRIBUTOR,42.3,0.0,46.8,50.0,25.0,10,61,0.1639,0.2105,0.087,-0.1236,,,6.43,45
DAL,2026,6,D.Prescott,QB,rush_attempts_qb,QB,1,0,32.2,INSUFFICIENT SAMPLE,54.5,6.8,15.9,50.0,25.1,1,18,0.0556,0.0,0.125,0.125,1,19,6.67,40
DAL,2026,7,E.Demercado,RB,rush_attempts,RB,2,0,31.5,ROTATIONAL CONTRIBUTOR,44.9,6.8,42.0,50.0,3.2,5,34,0.1471,0.2105,0.0667,-0.1439,1,19,3.0,15
DAL,2026,8,L.Schoonmaker,TE,targets,TE,3,0,30.5,INSUFFICIENT SAMPLE,50.0,0.0,9.5,50.0,46.8,1,30,0.0333,0.0526,0.0,-0.0526,,,12.0,12
